,발전량,센서풍속,발전기전류A,발전기전류B,발전기전류C,기어오일온도,발전기출력,발전기속도,내부온도,냉각수온도,하이드로릭오일온도,피치압력,로터속도,권선온도A,권선온도B,권선온도C,변압기온도BUS,변압기온도A,변압기온도B,변압기온도C,발전기전압A,발전기전압B,발전기전압C,발전기운전상태
2020-02-09 0:00,30,10.51000023,1472.25,1478,1487.083333,53,1775.616669,1969.633352,4,31.5,33,197.1666667,16.28333346,69.33333333,69.25,69,37.58333333,54,59,71,400.4166667,400,399.9166667,Run
2020-02-09 0:01,26,12.18000031,1237.916667,1242.95,1253.35,53,1494.685008,1968.56332,4,33.46666667,33,197.9849998,16.25666669,69.41666667,69.43333333,69,39.06666667,54,59,71,400.35,400,399.6,Run
2020-02-09 0:02,27,10.98999977,1314.733333,1320.2,1329.966667,53,1587.50166,1968.899988,4,34.73333333,33,197.9000005,16.27999989,69.08333333,69.48333333,69,39.6,54,59,71,400.15,400,399.65,Run
2020-02-09 0:03,22,10.46000004,994.3833333,999.2333333,1009.483333,53,1200.893345,1967.998328,4,33.03333333,33,196.5066661,16.26500022,68.93333333,69,68.68333333,36.61666667,54,59,71,400,400,399.1666667,Run
2020-02-09 0:04,16,9.75,718.5666667,722.8166667,733.9833333,52.25,869.4516693,1876.508321,4,31.1,33,190.0650014,15.52166696,68.48333333,68.25,68,34.41666667,54,59,70.66666667,399.6666667,399.6666667,398.9166667,Run
2020-02-09 0:05,11,9.340000153,457.4166667,462.5,474,52,552.6083298,1845.849996,4,31,33,190.4666684,15.24166687,67.25,67.5,67.08333333,34.66666667,54,58.75,70,399.9166667,399.75,398.9166667,Run
2020-02-09 0:06,12,9.350000381,664.2333333,669.4833333,680.7333333,52,804.3883403,1950.968335,4,31.91666667,33,193.0916662,16.10000022,66.25,66.25,66.01666667,35.48333333,54,58,70,400.0833333,399.9166667,399.0833333,Run
2020-02-09 0:07,12,9.420000076,591.3166667,595.8833333,608,51.43333333,717.161675,1945.625,4,32.66666667,33,188.1916672,16.10833346,65.66666667,65.33333333,65,36,53.66666667,58,70,400.1333333,400.15,399.3166667,Run
2020-02-09 0:08,12,8.890000343,615.8333333,622.1666667,633.8333333,52.33333333,747.9583333,1881.900004,4,33.16666667,33,189.8250008,15.54166683,65,64.66666667,64.33333333,36.66666667,53,58,70,400.5833333,400.1666667,399.4166667,Run
2020-02-09 0:09,13,8.489999771,607.65,612.8333333,624.25,53,737.4283346,1948.831657,4,34,33,192.9199994,16.11666692,64.26666667,64.16666667,64,37,53,57.43333333,69.91666667,400.1833333,400,399.3333333,Run
2020-02-09 0:10,13,10.01000023,717.6666667,722.8333333,735.25,53.91666667,870.024999,1934.983348,4,34.58333333,33,189.2333336,15.98333351,64,63.83333333,63.75,37.66666667,53,57,69,400.75,400.3333333,399.6666667,Run
2020-02-09 0:11,17,9.340000153,899.95,906.3666667,917.8,54,1088.803336,1971.551654,4,32.93333333,33,192.0949979,16.26999979,63.91666667,63.51666667,63.15,36.1,52.76666667,57,69,400.0833333,400,399.0833333,Run
