,발전량,센서풍속,발전기전류A,발전기전류B,발전기전류C,기어오일온도,발전기출력,발전기속도,내부온도,냉각수온도,하이드로릭오일온도,피치압력,로터속도,권선온도A,권선온도B,권선온도C,변압기온도BUS,변압기온도A,변압기온도B,변압기온도C,발전기전압A,발전기전압B,발전기전압C,발전기운전상태
2020-02-16 0:00,5,6.78000021,267.6666667,267,270.9166667,52,321.3433327,1538.014998,16.65,37.88333333,28.75,193.6049993,12.66666659,50,49.08333333,49.25,39.48333333,51,55,51.68333333,398.4833333,398.8,397.3333333,Run
2020-02-16 0:01,6,7.130000114,256.4,257.4,261.4833333,52,308.6416662,1574.186637,17,36.23333333,28.35,190.6683339,13.0383333,50,49.43333333,49.91666667,38.06666667,51,55,52,398.6833333,398.85,397.6,Run
2020-02-16 0:02,4,7.179999828,211.3833333,212.8666667,216.3,52,254.5583346,1331.066677,16.91666667,36.26666667,28.4,189.2616653,10.99166668,50,50,50,38.76666667,51,55,52,398.3333333,398.75,397.2666667,Run
2020-02-16 0:03,5,6.679999828,240.65,241.7333333,245.7333333,51.93333333,289.933331,1547.995007,16.65,37.33333333,28.81666667,190.0799985,12.78166658,50.5,50,50,39.91666667,51,55,52,398.5833333,399,397.5833333,Run
2020-02-16 0:04,5,6.360000134,240.1666667,241.1666667,245.25,52,289.2399996,1501.104978,16.58333333,38.33333333,28.5,190.6250013,12.38499991,50.91666667,50,50,40.5,51,55,52,398.6666667,398.75,397.6666667,Run
2020-02-16 0:05,4,5.949999809,216.5333333,218.1166667,221.7,52,261.1900002,1463.108346,16.25,39.26666667,28.33333333,191.225001,12.07333347,50.4,50,50,41.5,51,55,52,398.9833333,399,397.8166667,Run
2020-02-16 0:06,4,7.180000305,173.3166667,175.25,178.85,52,209.3250003,1452.189994,16.48333333,39.06666667,28.91666667,192.4949984,12.01833326,50.58333333,50,50,40.06666667,51,55,52,397.9,398.4833333,397.1666667,Run
2020-02-16 0:07,3,6.400000095,188.8333333,190.8833333,194.4666667,51.91666667,227.929999,1378.308331,16.93333333,37.15,28.76666667,190.099999,11.3316668,50.56666667,50,50,38.4,51,55,52,398.6,398.8333333,397.5166667,Run
2020-02-16 0:08,5,6.579999924,230.9333333,232.5333333,236.1833333,51.5,277.7400019,1539.441665,17,36,29,190.0333344,12.72999989,50.5,50,50,37.75,51,55,52,398.1666667,398.4166667,397.25,Run
2020-02-16 0:09,4,6.550000191,160.5166667,162.7666667,165.7666667,51.9,193.6066673,1345.318327,17,36.6,28.91666667,190.2516673,11.09166675,50.76666667,50.4,50.76666667,38.51666667,51,55,52,398.5833333,398.75,397.5,Run
2020-02-16 0:10,3,6.239999771,169.4833333,171.3,174.8,50.73333333,204.5666664,1446.074992,16.83333333,37.58333333,29,191.3250023,11.94166676,50.83333333,50.93333333,51,39.58333333,51,55,52,398.7333333,398.9,397.5666667,Run
2020-02-16 0:11,3,6.110000134,123.2666667,125.45,128.45,50,148.3299984,1281.611676,17,38.41666667,28.83333333,192.1316671,10.59666677,51,51,51,40,51,55,52,397.3166667,397.9166667,396.4,Run
2020-02-16 0:12,3,6.179999828,160.8,162.8666667,166.55,49.31666667,191.5083328,1332.981667,17,39.16666667,29,191.996667,10.97000011,51,51,51,41,51,55,52,397.3333333,398,396.4333333,Run
2020-02-16 0:13,4,6.320000172,182.85,184.75,188.25,50,220.5683332,1388.86167,17,39.33333333,29,193.451667,11.45333341,51,51,51,40.65,51,55,52,398.0333333,398,396.85,Run
2020-02-16 0:14,4,6.079999924,246.05,247.4666667,251.3,50.08333333,296.0483355,1508.001662,17,37.23333333,28.91666667,192.0683342,12.49000006,51,51,51,38.65,51,55,52,398.1833333,398,397.1833333,Run
2020-02-16 0:15,4,6.159999847,176.2166667,177.9,181.8,51,212.5866689,1350.778322,17,36,29,188.6383319,11.15999994,51.4,51,51,38,51,55,52,398.1333333,398.0833333,396.9666667,Run
2020-02-16 0:16,3,5.420000076,95.05,97.48333333,101.05,51,114.89,1215.94833,17,36.75,29,189.6966688,10.06499985,51.58333333,51,51.41666667,38.66666667,51,55,52,396.9166667,397.75,396,Run
2020-02-16 0:17,2,5.340000153,129.7166667,131.6333333,135.3666667,51,156.0933338,1312.463328,17,37.6,29,189.5933324,10.82166678,51.4,51.33333333,51.25,39.25,51,55,52,397.45,398,396.5333333,Run
2020-02-16 0:18,1,5.25,36.01666667,37.78333333,41.21666667,51,39.79000022,1196.250016,17,38.35,29,192.8216672,9.884999943,51.81666667,51.15,52,40,51,55,52,396.75,397.65,396,Run
2020-02-16 0:19,1,5.019999981,51.26666667,53.35,56.76666667,50.48333333,61.38666608,1199.596663,17,39,29,192.3233337,9.924999952,51.76666667,51.5,51.83333333,40,51,55,52,396.5,397.7333333,396,Run
2020-02-16 0:20,2,4.989999771,72.88333333,75.33333333,78.15,50,88.07500102,1201.051674,17,39.48333333,29,191.9850011,9.9233332,51.65,51.5,51.66666667,40.68333333,51,55,52,396.4166667,397.6,396,Run
2020-02-16 0:21,1,5.089999676,35.08333333,35.91666667,38.88333333,50,33.69833379,1194.531657,17,38.31666667,29,190.6900014,9.864999819,52,51.31666667,52,38.73333333,51,55,52,396.1666667,397.65,396,Run
2020-02-16 0:22,0,4.380000114,41.8,43.45,47.23333333,50,47.73166641,1200.551668,17,36.25,29,191.9699984,9.9233332,52,51.71666667,52,37,51,55,52,396.6166667,397.5,396,Run
2020-02-16 0:23,1,3.890000105,33.98333333,35,38.41666667,50,36.88666691,1199.258331,17,36,29,189.571667,9.916666508,52,51.93333333,52,37,51,55,52,396.4166667,397.9166667,396,Run
2020-02-16 0:24,0,3.869999886,23.2,23.35,26.26666667,50,16.06166635,1198.425016,17,36.43333333,29,192.7216698,9.901666594,52,52,52,37.68333333,51,55,52,396.5666667,398,396,Run
2020-02-16 0:25,1,3.819999933,23.9,24.45,27.33333333,50,19.71333338,1195.544989,17,37,29,191.004999,9.883333047,52,52,52,38,51,55,52,396.9333333,397.9166667,396,Run
2020-02-16 0:26,0,3.920000076,19.55,18.03333333,19.25,50,-6.570000019,1198.793333,17,37.51666667,29,188.5433314,9.914999676,52,52,52,38.66666667,51,55,51.75,396.5833333,398,396,Run
2020-02-16 0:27,0,3.630000114,17.6,17.13333333,19.95,50,5.636666743,1201.121674,17,38,29,191.5033335,9.934999752,52,52,52,39,51,55,51.41666667,396.3333333,398,396,Run
2020-02-16 0:28,0,3.339999914,25.86666667,26.51666667,30.16666667,50,26.02666659,1199.198332,17,38.5,29,191.2299995,9.914999835,52,52,52,39.68333333,51,55,51.66666667,396.4166667,398,396,Run
2020-02-16 0:29,1,3.470000029,28.45,28.03333333,29.08333333,50,-1.634999945,1195.106675,17,39,29,192.2816663,9.873333168,52,52,52,40,50.9,55,51.75,396,397.4833333,396,Run
2020-02-16 0:30,0,3.480000019,23.46666667,21.21666667,21.76666667,50,-18.10499992,1199.61165,17,39.33333333,29,188.0916662,9.901666292,52,52,52,39.98333333,50.66666667,55,51.33333333,396.4166667,397.75,396.25,Run
2020-02-16 0:31,0,3.529999971,19.08333333,16.61666667,19.2,50,-12.4849999,1202.493341,17,38.6,29,191.2350014,9.939999771,52,52,52,37.95,50.58333333,55,51.21666667,398,399,397.2666667,Run
2020-02-16 0:32,0,3.75999999,22.35,20.26666667,23.1,50,-13.3116666,1081.343328,17,35.9,29,190.8333354,9.101666458,51.83333333,51.31666667,51.83333333,35.4,50.91666667,55,51.43333333,398,399,397.2333333,Run
